43.31	-0.78	-0.92	1.06	0.00	-4	-13.20	3	9.65	2	3.55	6.00
43.37	-0.80	-0.98	0.37	0.00	-10	-7.91	7	10.01	4	-2.10	6.00
43.43	-0.94	-1.16	1.12	1.28	-3	-17.87	9	11.81	-1	6.06	6.00
43.49	-0.89	-1.59	0.47	0.49	-18	-11.13	11	12.52	5	-1.40	6.00
43.55	-0.79	0.49	1.24	2.14	-15	-17.90	11	5.86	0	12.04	6.00
43.61	-1.25	1.28	0.78	1.16	-16	-12.89	7	7.84	12	5.05	6.00
43.67	-0.43	4.15	1.33	5.13	-1	-19.09	7	-7.65	4	26.74	6.00
43.73	0.18	-0.24	1.54	2.26	-9	-17.15	-1	-0.97	27	18.12	6.00
43.79	-0.51	-0.98	1.90	0.61	-3	-20.22	0	7.37	18	12.85	6.00
43.85	-1.06	-2.26	1.05	-2.38	-16	-10.53	7	15.93	13	-5.40	6.00
43.91	-1.40	3.91	0.51	0.61	-5	-6.46	15	1.90	-4	4.56	6.00
43.97	-0.66	2.62	0.72	0.49	-3	-6.25	2	-1.27	5	7.52	6.00
44.03	-1.34	0.31	0.40	-0.43	-1	-7.84	0	11.41	8	-3.56	6.00
44.09	-1.80	-3.17	-0.57	-2.99	-10	-0.90	11	25.26	-3	-24.37	6.00
44.15	-2.29	-0.37	-1.24	-0.55	-11	0.17	24	21.97	-22	-22.14	6.00
44.21	-1.48	2.81	-0.94	1.95	-15	-0.17	21	5.71	-22	-5.54	6.00
44.27	-1.34	1.71	-1.66	0.61	-18	7.95	4	7.47	-5	-15.42	6.00
44.33	-0.71	0.00	-1.38	0.00	-12	7.67	7	6.50	-15	-14.17	6.00
44.39	-1.44	-2.14	-1.19	-2.75	12	6.49	7	19.14	-13	-25.62	6.00
44.45	-2.11	-0.79	-0.92	-2.01	6	1.42	17	21.49	-25	-22.91	6.00
44.51	-1.48	-0.61	-0.98	-2.01	0	4.99	22	15.26	-23	-20.25	6.00
