15.57	0.00	0.00	0.00	0.00	-4.98	0.00	2.37	0.00	-0.40	0.04	0.37	-0.40	0.04	0.37	0	0	0	6.00
15.58	-4.90	0.00	2.34	0.00	-1.21	0.00	0.70	0.00	-0.10	-0.00	0.10	-0.10	-0.00	0.10	-53	21	15	6.00
15.59	-4.83	0.00	2.30	0.00	-3.02	0.00	1.50	0.00	-0.24	0.02	0.23	-0.24	0.02	0.23	-5	-18	92	6.00
15.59	-4.75	0.00	2.30	0.00	-3.89	0.00	1.90	0.00	-0.31	0.02	0.29	-0.31	0.02	0.29	-36	19	44	6.00
15.60	-4.69	-0.37	2.26	0.37	-4.29	-0.18	2.08	0.18	-0.35	0.03	0.32	-0.35	0.03	0.32	-34	20	71	6.00
15.61	-4.62	-0.49	2.23	0.49	-4.45	-0.34	2.16	0.34	-0.37	0.03	0.34	-0.37	0.03	0.34	-38	21	84	6.00
15.61	-4.59	-0.85	2.15	0.00	-4.52	-0.60	2.16	0.17	-0.38	0.04	0.34	-0.38	0.04	0.34	-52	18	89	6.00
15.62	-4.53	-1.10	2.11	-1.04	-4.53	-0.85	2.13	-0.43	-0.38	0.05	0.33	-0.38	0.05	0.33	-41	22	93	6.00
15.63	-4.48	-1.53	2.15	-1.77	-4.50	-1.19	2.14	-1.10	-0.39	0.07	0.32	-0.39	0.07	0.32	-46	22	89	6.00
15.64	-4.42	-1.95	2.10	-1.77	-4.46	-1.57	2.12	-1.44	-0.39	0.08	0.32	-0.39	0.08	0.32	-45	28	96	6.00
15.64	-4.41	-2.56	2.16	-1.10	-4.43	-2.07	2.14	-1.27	-0.40	0.08	0.33	-0.40	0.08	0.33	-52	28	81	6.00
15.65	-4.36	-3.30	2.17	-0.31	-4.40	-2.68	2.15	-0.79	-0.41	0.07	0.34	-0.41	0.07	0.34	-49	27	57	6.00
15.66	-4.35	-3.85	2.21	0.24	-4.37	-3.26	2.18	-0.27	-0.42	0.06	0.36	-0.42	0.06	0.36	-47	27	47	6.00
15.66	-4.33	-4.03	2.24	0.79	-4.35	-3.65	2.21	0.26	-0.43	0.06	0.37	-0.43	0.06	0.37	-54	26	42	6.00
15.67	-4.32	-3.72	2.25	1.22	-4.34	-3.68	2.23	0.74	-0.43	0.04	0.38	-0.43	0.04	0.38	-56	24	37	6.00
15.68	-4.29	-3.17	2.22	1.10	-4.31	-3.43	2.23	0.92	-0.42	0.04	0.38	-0.42	0.04	0.38	-56	23	31	6.00
15.68	-4.25	-2.62	2.17	-0.24	-4.28	-3.03	2.20	0.34	-0.41	0.05	0.37	-0.41	0.05	0.37	-60	19	23	6.00
15.69	-4.22	-2.50	2.12	-2.75	-4.25	-2.76	2.16	-1.20	-0.40	0.07	0.33	-0.40	0.07	0.33	-47	23	27	6.00
15.70	-4.20	-2.81	2.08	-5.62	-4.22	-2.79	2.12	-3.41	-0.40	0.11	0.29	-0.40	0.11	0.29	-27	25	27	6.00
15.70	-4.17	-3.48	2.00	-7.63	-4.20	-3.13	2.06	-5.52	-0.41	0.16	0.25	-0.41	0.16	0.25	-24	31	25	6.00
15.71	-4.15	-4.33	1.85	-8.79	-4.17	-3.73	1.96	-7.15	-0.42	0.20	0.21	-0.42	0.20	0.21	-14	37	23	6.00
15.72	-4.23	-5.68	1.66	-9.22	-4.20	-4.70	1.81	-8.19	-0.44	0.24	0.20	-0.44	0.24	0.20	-23	42	15	6.00
15.73	-4.32	-7.81	1.46	-9.95	-4.26	-6.26	1.63	-9.07	-0.48	0.29	0.19	-0.48	0.29	0.19	-36	51	10	6.00
15.73	-4.45	-11.47	1.28	-10.93	-4.36	-8.87	1.46	-10.00	-0.54	0.35	0.19	-0.54	0.35	0.19	-56	49	7	6.00
15.74	-4.60	-16.36	1.09	-12.15	-4.48	-12.61	1.27	-11.07	-0.63	0.43	0.20	-0.63	0.43	0.20	-45	66	7	6.00
15.75	-4.77	-21.55	0.90	-12.45	-4.62	-17.08	1.09	-11.76	-0.74	0.51	0.23	-0.74	0.51	0.23	-34	78	7	6.00
15.75	-4.91	-24.96	0.73	-12.02	-4.76	-21.02	0.91	-11.89	-0.83	0.57	0.26	-0.83	0.57	0.26	-13	67	8	6.00
15.76	-5.04	-25.88	0.58	-11.23	-4.90	-23.45	0.74	-11.56	-0.90	0.61	0.29	-0.90	0.61	0.29	-24	43	8	6.00
15.77	-5.18	-24.54	0.42	-10.74	-5.04	-23.99	0.58	-11.15	-0.92	0.62	0.29	-0.92	0.62	0.29	-27	34	8	6.00
15.77	-5.33	-22.83	0.25	-10.01	-5.18	-23.41	0.41	-10.58	-0.92	0.63	0.29	-0.92	0.63	0.29	-39	30	8	6.00
15.78	-5.49	-21.79	0.08	-8.97	-5.34	-22.60	0.25	-9.78	-0.91	0.62	0.29	-0.91	0.62	0.29	-39	26	7	6.00
15.79	-5.64	-21.42	-0.08	-7.63	-5.49	-22.01	0.09	-8.70	-0.91	0.61	0.30	-0.91	0.61	0.30	-81	27	7	6.00
