6.76	0.00	0.00	0.00	0.00	-2.55	0.00	4.97	0.00	-0.21	-0.24	0.45	-0.21	-0.24	0.45	0	0	0	44.00
6.80	-2.34	0.00	4.51	0.00	-0.29	0.00	0.56	0.00	-0.02	-0.03	0.05	-0.02	-0.03	0.05	0	0	0	44.00
6.84	-2.08	0.00	4.07	0.00	-0.52	0.00	1.00	0.00	-0.04	-0.05	0.09	-0.04	-0.05	0.09	0	0	0	44.00
6.89	-1.87	0.00	3.62	0.00	-0.69	0.00	1.33	0.00	-0.06	-0.07	0.12	-0.06	-0.07	0.12	0	0	0	44.00
6.93	-1.66	0.00	3.16	0.00	-0.81	0.00	1.56	0.00	-0.07	-0.08	0.14	-0.07	-0.08	0.14	0	0	0	44.00
6.97	-1.50	0.00	2.69	0.00	-0.89	0.00	1.70	0.00	-0.07	-0.08	0.16	-0.07	-0.08	0.16	0	0	0	44.00
7.02	-1.19	0.00	2.28	0.00	-0.93	0.00	1.77	0.00	-0.08	-0.09	0.16	-0.08	-0.09	0.16	0	0	0	44.00
7.06	-0.82	0.00	2.62	0.00	-0.92	0.00	1.88	0.00	-0.07	-0.09	0.17	-0.07	-0.09	0.17	0	0	0	44.00
7.11	-1.03	0.00	2.17	0.00	-0.93	0.00	1.91	0.00	-0.08	-0.10	0.17	-0.08	-0.10	0.17	0	0	0	44.00
7.15	-1.48	0.00	2.39	0.00	-1.00	0.00	1.97	0.00	-0.08	-0.10	0.18	-0.08	-0.10	0.18	0	0	0	44.00
7.20	-1.21	0.00	1.97	0.00	-1.03	0.00	1.97	0.00	-0.08	-0.10	0.18	-0.08	-0.10	0.18	0	0	0	44.00
7.24	-1.07	0.00	2.46	0.00	-1.03	0.00	2.03	0.00	-0.08	-0.10	0.18	-0.08	-0.10	0.18	0	0	0	44.00
7.28	-1.28	0.00	2.00	0.00	-1.06	0.00	2.03	0.00	-0.09	-0.10	0.19	-0.09	-0.10	0.19	0	0	0	44.00
7.33	-1.50	0.00	2.45	0.00	-1.12	0.00	2.08	0.00	-0.09	-0.10	0.19	-0.09	-0.10	0.19	0	0	0	44.00
7.37	-1.08	0.00	2.17	0.00	-1.11	0.00	2.09	0.00	-0.09	-0.10	0.19	-0.09	-0.10	0.19	0	0	0	44.00
7.41	-1.53	0.00	2.39	0.00	-1.16	0.00	2.13	0.00	-0.09	-0.10	0.20	-0.09	-0.10	0.20	0	0	0	44.00
7.46	-1.19	0.00	2.03	0.00	-1.17	0.00	2.12	0.00	-0.09	-0.10	0.20	-0.09	-0.10	0.20	0	0	0	44.00
7.50	-1.20	0.00	2.53	0.00	-1.17	0.00	2.17	0.00	-0.09	-0.10	0.20	-0.09	-0.10	0.20	0	0	0	44.00
7.55	-1.31	0.00	2.04	0.00	-1.19	0.00	2.15	0.00	-0.10	-0.10	0.20	-0.10	-0.10	0.20	0	0	0	44.00
7.59	-1.58	0.00	2.47	0.00	-1.24	0.00	2.19	0.00	-0.10	-0.10	0.20	-0.10	-0.10	0.20	0	0	0	44.00
7.64	-1.25	0.00	2.08	0.00	-1.24	0.00	2.18	0.00	-0.10	-0.10	0.20	-0.10	-0.10	0.20	0	0	0	44.00
7.68	-0.76	0.00	2.21	0.00	-1.18	0.00	2.18	0.00	-0.10	-0.11	0.20	-0.10	-0.11	0.20	0	0	0	44.00
